MachineName,Name,DisplayName,Priority,IIS
DCRSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
DTPSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
MCRSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
SCRSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
BCRSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
GCRSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
PCRSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
PTPSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
STGSRVNCN401.choctawcasinos.local,N/a,N/a,0,1
DCESRVOLK201.choctawcasinos.local,Kiosk_Gateway_Instance,OASIS LOYALTY Kiosk Gateway,1,0
DCRSRVGTW205.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,2,0
GCRSRVGTW205.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,2,0
PCRSRVGTW205.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,2,0
DCRSRVHLO210.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,3,0
BCRSRVHLO210.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,3,0
ICRSRVHLO210.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,3,0
GCRSRVHLO210.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,3,0
MCRSRVHLO210.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,3,0
PCRSRVHLO210.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,3,0
STGSRVHLO210.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,3,0
SCRSRVHLO210.choctawcasinos.local,Open_Gateway_Service,OASIS_LOYALTY_Integration_Gateway_Service,3,0
DCESRVHLO202.choctawcasinos.local,N/a,N/a,4,1
DCESRVHLO203.choctawcasinos.local,N/a,N/a,4,1
DCRSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
DTPSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
MCRSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
SCRSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
BCRSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
GCRSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
PCRSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
PTPSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
STGSRVHLO201.choctawcasinos.local,OASIS_LOYALTY_Doorman_Service_Instance,OASIS_LOYALTY_Doorman_Service_Instance,5,0
DCESRVHLO208.choctawcasinos.local,UniMerge_Service_Instance,OASIS LOYALTY UniMerge Service,6,0
DCRSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
DTPSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
MCRSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
SCRSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
BCRSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
GCRSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
PCRSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
PTPSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
STGSRVHLO201.choctawcasinos.local,N/a,N/a,7,1
DCESRVHLO208.choctawcasinos.local,Synchronizer_Service_Instance_1,OASIS_LOYALTY_Synchronizer_Service_Instance_1,8,0
DCESRVHLO201.choctawcasinos.local,Service_Monitor_Instance,OASIS_LOYALTY_Service_Monitor,9,0
DCESRVHLO201.choctawcasinos.local,Delivery_Service_Instance_1,OASIS_LOYALTY_Delivery_Service_Instance_1,10,0
